I think you are now ready., neg,1
Those abilities begin with the self-explanatory Remote Bomb., neg,1
Magnesis; which allows Link to manipulate selected objects; and Stasis; which freezes time on one selected object and enables kinetic energy to push it in a desired direction; immediately join the selection., pos,0.6
Cryonis; which generates climbable; ice platforms from bodies of water; rounds out Link's mandatory repertoire., neg,1
Of course; all of these can be enhanced; but you'll have to seek out the opportunities., neg,1
Barely anything in Breath of the Wild falls into your lap., neg,1
Having to deal with items constantly breaking takes some acclimatising; but once you've accepted the change; it evolves combat without detracting from its Z-targeting DNA., neg,1
The customisation of assigning items to action buttons has been relegated to the history books., neg,1
The D-Pad is given the task of cycling between melee weapons; of which Link now has many to choose from; and the Z buttons are used to aim and fire his range weapon., neg,1
You'll still lock onto enemies and either slash or shoot at them (or their giant eye); but limited durability forces you to adopt a variety of tactics., neg,1
You won't always have a sword to partner your shield; at least not a powerful one; so are forced to experiment with heavy two-handed weapons and the reach of long spears., neg,1
What begins as a cycling by necessity; because the earliest weapons are feeble and break quickly; becomes second nature., neg,1
This has allowed Nintendo to rethink combat., neg,1
Enemies no longer generate in predetermined patterns around the world., neg,0.8
Instead they converge in small groups with strength in numbers., pos,1
While some are stationed as lookouts; others will rest and some will have laid down their weapons to huddle by a campfire; giving Link an opportune moment to strike., neg,1
There's more variety in both types and the ability of foes; and many of them are aided by the changing weather conditions., neg,0.6
As usual; deadlier enemies lurk at night; but some also benefit from electrically charged thunder storms; extreme heat or rainy conditions through Breath of the Wild's dynamic weather., neg,0.8
Having to cook elixirs and health packs sounds tedious; but it quickly assimilates and encourages exploring off the beaten path to stockpile rare inventory., neg,1
I don't normally bother with crafting potions or memorising ingredients in games if I can avoid it; I can't really be bothered cooking in real life; but it's actually enticing in Breath of the Wild., pos,0.6
To be honest; I ignored it for about five hours; before finding how easy it is to toss a couple of items together to improve their effectiveness., pos,1
Without any hearts hiding in tall grass or commoners' pots; Link has to eat to replenish his health; but chowing down on apples and mushrooms will only get you so far., neg,1
I eventually investigated the culinary arts; not for health; but the stats boosts., neg,1
While stronger enemies are a deterrence entering for some areas; Hyrule's regions attempt to keep you at bay through the elements., neg,1
